,state,age,title,content,date,negative_worde
247,COIMBATORE,['17-year-old'],TN girl’s suicide: School principal booked under Pocso Act arrested,"COIMBATORE: The RS Puram all women police of Coimbatore arrested Meera Jackson, a former principal of private matriculation school, from a hideout in Bengaluru. She was booked under the Protection of Children from Sexual Offences (POCSO) Act for her failure to report a sexual harassment complaint that a Class XII girl student, who committed suicide at her house by hanging on Thursday, raised against her teacher. A team of police brought her to the RS Puram police station on Sunday morning. The parents, school friends and members of various organisations staged a protest at the victim girl’s house on Saturday, demanding the arrest of the former principal of the school. The protesters said the ex-principal had failed to take stringent action against the teacher, Mithun Chakaravarthy (31), based on the girl’s complaint and demanded the school management to issue a compensation of Rs 50 lakh to the victim’s family. It is to be noted that the school management had transferred Meera to another school a few months ago.  17-year-old girl, a Class XII student, committed suicide by hanging at her residence on Thursday evening. Her parents and her friend Vaishnav Krishna accused a former teacher of a private matriculation school, RS Puram for sexually harassing the girl on several occasions and abetting her suicide. The girl’s father lodged a complaint with RS Puram all-women police station on Friday and the police registered a case against the school teacher K Mithun Chakravarthy (31) of Lawley Road in Coimbatore. He was booked under Section 306 (abetment of suicide) of the Indian Penal Code and Section 9(l) (whoever commits sexual assault on the child more than once or repeatedly) read with 10 (punishment for aggravated sexual assault) of the Protection of Children from Sexual Offences (Pocso) Act. He was arrested and remanded in judicial custody. Meanwhile, the girl's family refused to receive the dead body after the postmortem on Friday afternoon. The family members said that they will receive the body only after the arrest of the school principal. The dead body was kept at the mortuary of the Coimbatore Medical College and Hospital (CMCH). Police sources said that the parents will receive the dead body of the girl soon. ",14-11-2021,"['failure', 'harassment', 'complaint', 'suicide', 'protest', 'failed', 'stringent', 'complaint', 'issue', 'suicide', 'suicide', 'complaint', 'suicide', 'assault', 'assault', 'refused', 'dead', 'dead', 'dead']"
248,BENGALURU,[],2 students of Bengaluru school jump to death from their apartments,"BENGALURU: Two students of an upscale CBSE school in Dommasandra, east Bengaluru, allegedly ended their lives by jumping from their respective apartments on April 1. One of them was preparing for class 12 exams, while the other had just been promoted to class 12. The reasons are yet to be ascertained. Both did not leave behind any suicide note. The first incident happened at a posh residential layout in Bellandur, where the teen jumped from the terrace of his five-floor apartment complex at 12.30am. His acquaintances suspect he took the extreme step as he did not meet his expectations in the recent Joint Entrance Examination (JEE). ""The incident has come as a shocker to us. We do not know the reason, but we heard he was not happy with his JEE scores,"" said the school management. According to his friends, he left no hint about his plans. Around midnight, his parents realised the boy was missing from his room and he reportedly jumped from the terrace while they were searching for him. His body was taken to his hometown in Mangaluru. In the second incident, the student jumped from the balcony of his fifth-floor flat, again in Bellandur. ""He was a humanities student and is believed to have ended his life during an online class in the morning. He had reportedly spoken to his parents earlier about an angelic force driving him. His parents are in a state of shock,"" said a teacher The boy had joined the school when he was in class 9. He was to turn 17 in May. School conducts counselling sessionsThe school organised counselling sessions for the rest of the students. “Lack of face-to-face interactions has been a major setback. We have told students to reach out to us whenever they feel the need,” said the principal. Counsellors agree that lack of offline learning has affected the mental health of students. “The absence of direct interface with teachers, too much of learning through audio and video media and lack of socialising have impacted children. This is in addition to the already existing anxieties about exams, academic future and may be, even finances. With the pandemic, there is no mechanism to let out emotions and a lack of expression affects youngsters,” said Poorva Ranade, a psychologist. According to her, it’s important for parents to inculcate the thought among children that it’s OK to lose a year in case he/she is unable to cope. “Confusion, chaos and insecurity generated due to the pandemic are seeping in at all levels of society. The worry is also because we don’t know how long this will go on,” she added. ",07-04-2021,"['suicide', 'complex', 'suspect', 'shock', 'setback', 'lack', 'absence', 'lack', 'anxieties', 'lack', 'inculcate', 'lose', 'unable', 'chaos', 'insecurity', 'worry']"
249,GHAZIABAD,['19-year-old'],"Ghaziabad: Student takes poison, 3 cops suspended for not filing FIR","GHAZIABAD: The Ghaziabad SSP has suspended a station house officer, a chowki in charge and a sub-inspector for negligence in duty and not filing an FIR after receiving a harassment complaint from the father of a Class 10 student, who attempted suicide on May 31. According to the father, the student, a minor, consumed poisonous substances after repeated harassment by a 19-year-old neighbour. She is now out of danger. The SSP has also ordered a departmental inquiry against Saurabh Vikram Singh, the SHO of the Sihani Gate police station, Nagendra Singh, the chowki in charge at the Old Bus Adda, and sub-inspector Prabhakar Singh. Alok Dubey, circle officer, Sihani Gate, said that police initially received information about the minor, who allegedly tried to kill herself, from Ganesh Hospital.Then on June 1, her father reached the police station and filed a written complaint against Nitish (19), her neighbour. “The father alleged that he used to harass his daughter on her way to school, pressuring her to marry him, following which she took the extreme step,” Dubey said. However, till June 2 afternoon, the three police officers concerned neither registered a case nor took any action and did not report the matter to seniors. According to the SSP, they demonstrated “gross negligence in performing duty, indifference, laxity, arbitrariness, etc.,” and got suspended. “I have also ordered a departmental enquiry. Our department will not entertain such attitude by any personnel,” the SSP said. After senior officers came to know about the case, the accused got arrested on June 2 under IPC sections 354 (assault or criminal force to woman with intent to outrage her modesty), 323 (causing hurt), 504 (intentional insult to provoke breach of peace) and 109 (abetment). Nitish claimed he had been in a relationship with the minor for the past three-four years, and they had planned to marry. “While the boy had been forcing her to marry him, the girl told him she would consult her parents. The two decided to end their lives on May 31 since they could not live together. It had been pre-planned. The girl consumed poisonous substances while the boy backed out,” said Dubey, adding that investigation is underway. ",05-06-2022,"['negligence', 'harassment', 'complaint', 'suicide', 'poisonous', 'harassment', 'danger', 'kill', 'complaint', 'harass', 'concerned', 'gross', 'negligence', 'indifference', 'assault', 'criminal', 'outrage', 'hurt', 'insult', 'provoke', 'breach', 'poisonous']"
250,HYDERABAD/NEW DELHI,"['19-year-old', '19-year-old']","Financial crisis led Lady Shri Ram student to kill herself, say her parents","HYDERABAD/NEW DELHI: Days after a 19-year-old student of Lady Shri Ram College (LSR) died by suicide, her parents, who live in Rangareddy near Hyderabad, blamed it on financial crisis and lack of support from the central and state governments. On November 2, the body of the student, Arunima (name changed), was found hanging at her residence in Shadnagar. In her suicide note, she stated that she didn’t want to burden her family as they were already in a financial crisis. She also asked her family to ensure that they claimed the “Inspire” scholarship amount of Rs 1.2 lakh that was due in March 2021. The student had secured admission in LSR in BSc (mathematics). Her parents, who mortgaged their house for Rs 2 lakh and sought loans worth Rs 1.05 lakh from mahila mandal groups for their daughter’s education, alleged that the college’s order to vacate the hostel during the pandemic drove Arunima into taking the drastic step. “She knew we had put everything at stake to send her to Delhi for higher studies. She couldn’t seek more money from us as she was aware that we were struggling to pay back the loans. We had discontinued the education of our younger daughter to support her higher studies,” G Srinivas Reddy, the 19-year-old’s father, told TOI. Arunima’s parents also alleged that despite knowing that their daughter had no access to a laptop with internet service or a decent smartphone to attend online classes, she was asked to vacate the hostel. “I want the government to ensure that other students don’t face such problems,” said G Sumati Reddy, her mother. A case under CrPC Section 174 was registered at Shadnagar police station following a complaint filed by the father. Suman Sharma, LSR principal, said, “It is shocking news and we are in grief about what has occurred. The child never approached the hostel, scholarship committee or even the maths department for any assistance.” LSR Alumni Association on Sunday issued a statement saying they were saddened by the incident. “We have spoken to the principal and the college is equally shocked as she had never approached the department, administration, principal or faculty members for any help. LSR has a certified counsellor to help students. Even we have started a charity for needy students,” it added. (With inputs from Mohammad Ibrar in New Delhi)",09-11-2020,"['died', 'suicide', 'crisis', 'lack', 'suicide', 'burden', 'crisis', 'drastic', 'struggling', 'discontinued', 'problems', 'complaint', 'shocking', 'grief', 'shocked', 'needy']"
251,PRAYAGRAJ,['16-year-old'],Allahabad HC tells DGP to be present again in court on Thursday in Mainpuri girl’s suicide case,"PRAYAGRAJ: Taking a serious note of the laxity in the investigation of the suspicious death of a 16-year-old girl student of Mainpuri, the Allahabad high court on Wednesday directed the director general of police (DGP) to remain present before the court again on Thursday, saying, “We take such matters very seriously. Don’t think that she was a poor man’s daughter, she was the nation's daughter.” As per direction of the court, when the DGP along with the special investigation team (SIT) appeared before the court on Wednesday, he was directed to go through the records of the case and remain present again before the court on Thursday to clarify the action of the police authorities in conducting the investigation. The court further asked as to why disciplinary action against the then superintendent of police (SP), Mainpuri could not be completed before his retirement almost six months back. The Mainpuri girl was found hanging inside her school in suspicious circumstances on September 16, 2019. Her family members had alleged that she was sexually assaulted and killed. An FIR in this connection was lodged on the next day on September 17, 2019. Hearing a PIL filed by one Mahendra Pratap Singh, a division bench comprising Acting Chief Justice Munishwar Nath Bhandari and Justice Anil Kumar Ojha observed, “Despite the seriousness shown by the court to the case and the manner of the investigation coupled with direction against the defaulting police officer, no follow-up action has been taken, rather the matter is not being briefed to the DGP, UP to know the sensitivity of the case.” “In view of the above, we are left with no option but to keep this matter for September 16, 2021 at 10am as the first case when DGP, UP and members of SIT would remain present in the court to clarify about the action of the police authorities in making the investigation,” the court added. In the PIL, the petitioner has alleged that police were not fairly investigating the incident and were rather protecting the actual accused. Also, even the SIT formed for investigating the case was not acting independently. “We hope that good sense prevails and appropriate action is taken against the erring officers who neither interrogated the matter properly nor collected the medical evidence and sent it to the forensic lab within time,” said the court. Earlier on Tuesday, the court, after going through the case record, had observed, “It is found that though the FIR of the incident dated September 16, 2019, was lodged on the next day having allegation and naming the accused but interrogation of the accused was not made immediately or within reasonable time, rather it was done after almost three months.” Hence, in this backdrop, the court had said that it seems that the SIT team investigating the matter was not acting independently and had accordingly directed the DGP of UP to remain present before the court on Wednesday. Now, the case will be listed for the next hearing on September 16, 2021. ",15-09-2021,"['suspicious', 'death', 'poor', 'suspicious', 'killed', 'seriousness', 'allegation']"
252,MUMBAI,[],"Bombay high court denies relief to school chairman who scolded boy, leading to his suicide","MUMBAI: Observing that the language of reprimand must not be such that it shatters a tender mind, the Bombay high court refused pre-arrest protection to the chairman of a school in Kolhapur after a class X student ended his life within hours of being scolded by him. Justice Vinay Joshi rejected the anticipatory bail application by Ganpatrao Patil, chairman of Symbolic International School. He was booked by Shiroli MIDC police station under IPC section 305 (abetment of suicide of child). In the FIR filed on April 2, 2022, a man said he was called to the school a day before and asked to take his grandson home. The boy told him while he was playing football, the goalpost guard inadvertently hit a girl injuring her. Patil had scolded and abused him in filthy language. When the grandfather met Patil, he again said the student was “ill-cultured, has no chances of reformation and he is a slum boy” . Abuse directly linked to suicide, says HCThe Bombay HC has refused to grant pre-arrest bail to Ganpatrao Patil, chairman of a Kolhapur-based school, in an abetment to suicide case of a Class X boy. Patil had summoned the boy’s grandfather and told him he should be rusticated. He added the boy has “no right to live in this world” and is a “burden on this earth”. The grandfather took his grandson home, and within a few hours, the boy hung himself. Patil’s advocate Hrishikesh Mundargi argued that the allegations do not disclose criminal intent and being chairman of a school and a disciplinary authority, his act of reprimanding a student cannot be construed as instigation to suicide. Prosecutor M R Tidki said Patil’s act of humiliating, abusing and continuous harassing of the student amounts to sufficient instigation. He created the circumstance that led the student to end his life within hours. Justice Vinay Joshi took note of several complaints of parents against Patil. “As regards the case in hand, the utterances of the applicant are objectionable. No doubt he can reprimand students, but not in such a language which would shatter the tender mind,’’ he said in his April 25 order. The court referred to witness statements that Patil had scolded the boy in an unruly manner. In the presence of a teacher and the grandfather, he was again scolded using foul language. “Prima facie it suggests the applicant has created an impression in the mind of the student to put him in deep frustration... there is a direct link of the applicant’s act since within few hours from the episode, the child has ended his life by suicide. A young student has lost his life in proximity to the act of the applicant,” said Justice Joshi. Agreeing with Tidke that probe is on and Patil’s custodial interrogation is necessary, he said “no case is made out to grant pre-arrest protection”. ",18-05-2022,"['reprimand', 'refused', 'scolded', 'rejected', 'suicide', 'scolded', 'abused', 'filthy', 'suicide', 'refused', 'suicide', 'burden', 'hung', 'allegations', 'criminal', 'suicide', 'humiliating', 'complaints', 'objectionable', 'doubt', 'reprimand', 'shatter', 'scolded', 'unruly', 'scolded', 'foul', 'frustration', 'suicide', 'lost']"
253,KOLHAPUR,[],Students protest outside SUK for online examination in Kolhapur,"KOLHAPUR: Students from around seven colleges affiliated to the Shivaji University, Kolhapur (SUK) protested outside the university to press for their demand of conducting the semester exams online. The students are of the view that if lectures were conducted online, then exam should also be conducted online. The students also tried to enter the university premises, but were stopped at the gate. Santosh Kandekar, head of the protesting students, said, “The summer examination of all the traditional courses under Mumbai University (MU) will be conducted online and the examinations of Pune Agriculture University, Rahuri, Nagpur University, Chhattisgarh University, Allahabad University will also be conducted online. In democracy, even if the university is different, the degree obtained from the university is the same across the country. One rule for one university and another for the other is against the principle of natural justice.” Yogita Yadav, another protester, said, “The academic year is from June to May. However, the fifth semester examination of final year students for December 2021 was conducted in 2022 and it is compulsory for the university to hold the sixth semester exam in May 2022. Still, the university is conducting the exam in June.” She said, “If the exam is held in June, students will not have time to study for competitive exams like Bar Council of India and will not be able to appear for it. So, the university should hold the exams online in May 2022 itself. A student from Jalna committed suicide owing to the fear of offline exam and to avoid such further cases, the e Shivaji University, Kolhapur should conduct the exams online.” ",05-05-2022,"['protested', 'protesting', 'suicide', 'fear']"
254,Yadgir,['18-year-old'],"Suicide turns out to be honour killing of youth, four of girlfriend’s family held","Yadgir: Police in Yadgir have cracked what at first seemed to be a student’s suicide and have concluded that the 18-year-old youth found hanging from a tree was a victim of an honour killing allegedly by his girlfriend’s family. After Manjunath Pujari was found hanging from a tree near the Government Boys’ Residential School in Darshnapur village on January 21, 2021, the police first recorded it as a possible suicide. The boy’s father, Mallappa, however, was unconvinced and kept digging for details behind the boy’s death. Mallappa found out that Manjunath was dating a girl, a Class X student, in Darshnapur village. They were from different castes and the girl’s family was against the relationship. The girl’s family had told Manjunath to stay away from the girl. Mallappa reapproached the police and filed a fresh case alleging murder and insisted that the cops conduct a fresh inquiry. The police started investigation on July 3, 2021, after forming several teams to expedite the probe. The police also sought permission to subject all the accused to a polygraph test and managed to get one accused to do it. The police found out that Manjunath was from the Kurba community, while the girl was from the from Kabbaliga community. C B Vedhamurty, the Yadgir superintendent of police, told TOI that the girl’s father, Ramanna, opposed the relationship and told Manjunath more than once to stay away from the girl. Manjunath persisted. The furious father, with help of three relatives, decided to kill Manjunath. They beat up Manjunath and then hanged him from a tree on January 21, 2021, SP Vedhamurty said. “During our investigation, all four accused admitted that they had killed Manjunath for his relationship with the girl because he was from a different caste. We arrested all the accused two days ago,” the district police chief said. ",12-02-2022,"['cracked', 'suicide', 'killing', 'suicide', 'death', 'murder', 'furious', 'kill', 'killed']"
255,THIRUVANANTHAPURAM,"['26-year-old', '19-year-old']",Series of dowry suicides by newly-weds jolt Kerala,"THIRUVANANTHAPURAM: A few suicide deaths of young women within months of marriage that have been reported in Kerala in the past few days has come as a shock to many and dowry appears to be the villain. The first case was reported on Monday when a final year student of Ayurveda allegedly hanged herself at her husband’s home in Kollam district. The reason that has now come out according to her parents is that her husband Kiran Kumar, a 27-yearold assistant motor vehicle inspector, was unhappy with the brand new car that was given along with 1.20 acre of land and 100 sovereigns of gold. Their marriage took place last year. “She had told us that she was being harassed constantly as the new car (costing over Rs 10 lakhs) had low mileage and he wanted to sell the car and buy a new luxury car,” said the mother of the young girl. “We were shocked to hear about her death and much to our surprise the mark on her neck was very low. What we are being told is that in a hanging case, either motion or urine is seen. In my daughter's case, everything appears to be mysterious,” said her father. The police meanwhile has arrested Kumar and he admitted to causing her bodily injuries, but on the day she died no such thing had happened. Meanwhile Kumar has been suspended from service after former leader of opposition Ramesh Chennithala asked the state transport and motor vehicle minister Antony Raju to take appropriate action. In another case, a 24-yearold girl ended her life by setting herself on fire and her 26-year-old husband Suresh was taken into custody as he was seen with a bottle of fuel. This incident occurred near Kovalam, in the state capital city. Here too the villain is now reported to be dowry as the deceased's mother said the boy’s family was demanding more dowry. The marriage took place last year. In a third case that surfaced on Tuesday a 19-year-old girl was found hanging in her husband's home at Alappuzha. At the time of the incident, only the girl’s husband’s parents were there. The police have started a probe. Minister for animal husbandry J Chinchurani who also hails from Kollam district said action will be taken by the police and Kumar’s mother will also be made an accused. State police chief Loknath Behera said that the police will act strictly and will take appropriate action after a thorough probe in these cases. Leader of opposition in Kerala VD Satheesan said that it is a real shame that dowry deaths are taking place in literate Kerala",23-06-2021,"['suicide', 'shock', 'unhappy', 'harassed', 'shocked', 'death', 'mysterious', 'died', 'opposition', 'strictly', 'opposition', 'shame']"
256,CHANDIGARH,[],Engineering student ends life in hostel room in Chandigarh,"CHANDIGARH: A third-year BTech student of Chandigarh College of Engineering and Technology (CCET), Sector 26, allegedly committed suicide by hanging himself in his hostel room in the early hours of Thursday. The body of Suneet Singh (20), a resident of Doda district, Jammu, was found by a classmate in the morning. Suneet had recently lost his father and was upset over his death. No suicide note was recovered, cops said. Police said the victim’s family were informed and the post-mortem would be conducted when they reach the city. Statements of his friends and college teachers were being recorded to find out the reason behind him taking the step. Police registered a case under section 174 of CrPC. On April 26, a Class X girl student had allegedly committed suicide by hanging herself at her residence in Maloya. ",29-04-2022,"['suicide', 'lost', 'upset', 'death', 'suicide', 'suicide']"
257,THANE,['39-year-old'],Maharashtra: College teacher held for abetting student's suicide,"THANE: A 39-year-old college teacher has been arrested for allegedly abetting the suicide of a student in Maharashtra's Thane district, police said on Wednesday. As per a police complaint filed by father of the 17- year-old victim, the accused, who was teaching at a college in Dombivli township here, had allegedly demanded Rs 10,000 from the victim. He had also allegedly threatened the victim that if the money was not paid, he would see to it that he fails in his exams, an official from Mumbra police station said. The victim, who was under mental stress, allegedly hanged himself at his house in Diva area here on February 14 this year, he said. Based on the complaint filed by the victim's father, the police arrested the accused on Tuesday night and registered a case against him under Indian Penal Code Section 306 (abetment of suicide), he said. ",16-12-2020,"['suicide', 'complaint', 'fails', 'stress', 'complaint', 'suicide']"
258,GURUGRAM,['24-year-old'],"Law student murdered in Faridabad, friend found dead on tracks next day","GURUGRAM: A 24-year-old law student was allegedly stabbed at least 14 times in the chest and stomach, leading to his death on a Faridabad road on Saturday. His friend, who had managed to escape the attack, was found dead along the railway tracks on Sunday morning. Police suspect he died by suicide. Rahul (24), whose father is the reader of a judge in a Faridabad court, had left home in Sagarpur village around 5pm on Saturday after a phone call from a youth, identified as Hariom. “He left home saying he was going to meet Hariom near the tubewell,” a police officer said, quoting Dharmraj, Rahul’s father. Rahul took along his friend Rinku. When they reached near the tubewell, the police said, a group of 10-12 youths on bikes stopped them. They had an argument, following which Rahul was allegedly attacked with rods and then stabbed with a knife. When the group turned towards Rinku, he fled, the police said. Rinku rushed to Rahul’s home and informed his family members. By the time someone from his family reached the spot, the group had fled, leaving Rahul bleeding profusely from the stab wounds. He was taken to a private hospital in Sector 8, where he died during treatment. His autopsy report said he had lost a lot of blood. Rinku’s family members said he was too disbursed that night to speak. “He told his family he would die too. But they thought he was saying all these because he was saddened by his friend’s sudden death,” said a police officer. On Sunday morning, Rinku left home without telling anyone in his family where he was going. A few hours later, he was found dead by the tracks near Ashwati station. The nature of the injuries suggested he may have been hit by a passing train. The police suspect he might have jumped before a moving train. A case of murder has been registered against unknown persons at Sadar police station. The police said Rahul had been stabbed in a revenge attack. “A case has been registered and the police are trying to trace the accused,” said Sube Singh, a spokesperson for Faridabad police. ",03-01-2022,"['death', 'attack', 'dead', 'suspect', 'died', 'suicide', 'knife', 'bleeding', 'stab', 'wounds', 'died', 'lost', 'death', 'dead', 'suspect', 'murder', 'unknown', 'revenge', 'attack']"
259,Mangaluru,[],4th year MBBS student found dead in hostel,"Mangaluru: A fourth-year MBBS student was found dead in his hostel room on Tuesday. According to police, the deceased is Roshan Jose,22, from Idukki in Kerala,and studying in a private medical college in Mangaluru. When he was not responding to their calls in the morning, his family panicked. Later, the door to his room was broken open, and he was found dead. A case has been registered at the Mangaluru South police station, and the body has been handed over to the family after a postmorterm. An investigation is on. Physiotherapy student found hanging in hostel A third-year physiotherapy student from a private college was reportedly found hanging in her hostel room on Wednesday. The deceased is Sandra P ,21, from Kannur in Kerala. The incident took place between 10 am and 12.15 pm, when three of her roommates were attending class. Preliminary investigation suggests that the girl was suffering from depression. She had allegedly attempted suicide a year ago. The case is being investigated by the Mangaluru South police station. Labourer dies after falling from roof of house A labourer died after he slipped from the top of a house under construction in Vamanjoor. The deceased is identified as Harishchandra,50, from Moodushedde. A case has been registered at the Mangaluru Rural police station. ",12-05-2022,"['dead', 'panicked', 'broken', 'dead', 'suffering', 'depression', 'suicide', 'falling', 'died']"
260,By,[],PMK leader Anbumani Ramadoss urges students to fight against NEET,"By: Shanmugasundaram JCHENNAI: PMK youth wing leader Anbumani Ramadoss on Sunday dissuaded the medical aspirants from taking extreme steps over low marks in NEET and urged them to fight the social injustice. Referring to the suicide attempt by a student in Gingee for scoring lesser mark in the recently-held NEET, the Rajya Sabha MP took to social media and tweeted that ending one’s life is not a solution. Rather, the students should fight against the social injustice (NEET) and win over it. Stating that 13 students had committed suicide over NEET, the former Union health minister wondered how many more lives the NEET would claim? “No student should end their life for scoring lesser marks in the exam,” he said ",18-10-2020,"['injustice', 'suicide', 'injustice', 'suicide']"
261,MADURAI,['17-year-old'],Madras high court orders CBI probe into Thanjavur girl's suicide,"MADURAI: The Madras high court on Monday ordered a CBI probe into the suicide of a 17-year-old Class XII student in Thanjavur district due to alleged pressure for religious conversion. Justice G R Swaminathan passed the order in a plea moved by girl's father S Muruganantham seeking to transfer the investigation in this case to the CB-CID or any other investigation agency. The petitioner stated that the hostel warden had harassed his daughter by giving punishment work such as cleaning cooking utensils, toilets and school campus, compelled to cook food in the hostel and not allowed her to go home even during school holidays. He stated that his daughter had died by suicide only because of the torture meted out to by the school management following her refusal for religious conversion. However, Thanjavur district superintendent of police gave a press statement stating that there was no complaint of forcible religious conversion. The father stated that the statement of the SP and the compulsion by the police created a strong suspicion that the police were attempting to safeguard some people who were responsible for the death of his daughter. ",31-01-2022,"['suicide', 'plea', 'harassed', 'died', 'suicide', 'torture', 'refusal', 'complaint', 'compulsion', 'suspicion', 'death']"
262,VIJAYAWADA,[],Andhra Pradesh: 2nd-year Inter student ends life,"VIJAYAWADA: A Intermediate student committed suicide by hanging herself in her college hostel room in Poranki in Krishna district on Monday. The deceased was identified as B Sirisha (17), a BiPC second year student from Rangasamudram village of Pedda Thippa Samudram mandal in Chittoor district. According to Penamaluru SHO M Satyanarayana, the incident happened at around 7.30 am when Sirisha was found hanging from the ceiling fan by her roommates. The private college management alerted the cops who reached the spot and took Sirisha to a nearby hospital where the doctors declared her dead. Cops said that they are yet to ascertain the cause behind the suicide. A preliminary inquiry revealed that Sirisha returned to the hostel from her native place on Monday with her parents. A case has been registered under section 174 of CrPC (death due to hanging) at Penamaluru police station. Sirisha’s body has been sent for post mortem. ",13-04-2021,"['suicide', 'dead', 'suicide', 'death']"
263,MADURAI,['17-year-old'],Student of Class XII kills self on day of board exam,"MADURAI: A 17-year-old boy from Thirumangalam committed suicide on Thursday, the first day of the Class XII state board exams 2022, allegedly due to fear of failing, police said. Parents of P Sanjay had sent him to stay with his uncle in Avaniyapuram while preparing for the exams. His uncle had kept a stock of petrol a t home. Early on Thursday, Sanjay doused himself with the fuel an d set himself on fire. His uncle, who tried to rescue him, also suffered burns and both were rushed to Government Rajaji Hospital. “The boy died on Thursday afternoon,” he added. Police registered a case and said enquiries found that Sanjay was a slow learner and was struggling with studies. ",06-05-2022,"['suicide', 'fear', 'failing', 'suffered', 'burns', 'died', 'slow', 'struggling']"
264,AHMEDABAD,['25-year-old'],Ahmedabad: Cellphone yet to be decoded,"AHMEDABAD: Even as 10 days have passed, police are yet to ascertain the reason behind suicide of a 25-year-old woman, an MBA PGP student at the Indian Institute of Management Ahmedabad (IIM-A). She had ended her life on January 20. One of the vital evidences — her cellphone — which was sent to the FSL is yet to be cracked, said a police officer. Police officers probing the case have now been relying upon statements of family members of the deceased — Drashti Raj Kahnani — who told cops that she could have taken the extreme step because of constant loneliness. “We have not got any substantial clue in the case as her cellphone details are yet to be analysed by the FSL. But what we have perceived from statements of her family members is that she was fed up with loneliness which might have triggered her to commit suicide,” said an officer of Satellite police, adding that she did not have any mental illness in the past. Cops also investigated the angle of pressure from the institute but there was no such pressure which forced her to commit suicide. Kahnani, who had stayed in dorm number 8 on the old ndian Institute of Management Ahmedabadcampus and hailed from Muzaffarpur in Bihar and lived in New Delhi, had committed suicide on January 20 afternoon in her room. As she had not gone for lunch, her friends tried to approach her but nobody responded from inside. Later, they along with security guards of ndian Institute of Management Ahmedabad broke the door and found her hanging from a ceiling fan. Police had not found any suicide note from her room and other belongings. Her cellphone was sent for forensic examination. ",01-02-2021,"['suicide', 'cracked', 'loneliness', 'loneliness', 'suicide', 'illness', 'suicide', 'suicide', 'broke', 'suicide']"
265,BHOPAL,[],Bhopal court convicts four Pharma students for ragging junior,"BHOPAL: A sessions court in Bhopal has convicted four students of RKDF Pharmacy College for ragging and abetment to suicide of a junior student and sentenced them to five years of imprisonment each. The girls were accused of driving their junior, Anita Sharma, to take the extreme step. The court of additional district & sessions judge, Amit Ranjan, pronounced the senior students guilty and awarded them five years of imprisonment. A case was registered in this regard against the four girls under Section 306 of the Indian Penal Code (IPC) on charges of abetment to suicide. The court, however, acquitted a teacher of the institute, who was made a co-accused in the case. The accused- Nidhi Magre, Dipti Solanki, Divyanshi Sharma, and Kriti Gaur have been sentenced for the ragging case reported in 2013. Anita Sharma, an 18-year old B Pharm second year student at RKDF Institute of Pharmacy, had committed suicide by hanging at her residence in 2013. In her suicide note, she had accused the girls in question of subjecting her to torture in the name of ragging ever since she joined the college, so much so that she was even ‘forced her to write their mid-semester copies.’ She claimed that when she tried to inform the authorities about the ragging, Anita was advised to obey her seniors and live with it.In her suicide note, she wrote, “only I know how I have suffered the ragging of these four till now.” The deceased clearly named the four senior students in the note. ",07-02-2021,"['suicide', 'imprisonment', 'guilty', 'imprisonment', 'suicide', 'suicide', 'suicide', 'torture', 'suicide', 'suffered']"
266,Chandigarh,['21-year-old'],GMCH MBBS student ends life in Sector 22,"Chandigarh: A 21-year-old woman pursuing MBBS from Government Medical College and Hospital, Sector 32, allegedly committed suicide by hanging herself at her house in Sector 22 on Monday. A suicide note was found in which she did not hold anybody responsible for her death, cops said. The victim has been identified as Tarusikha. Police said before hanging herself, she had cut the veins of her right hand and tied her feet. Cops said she had written in the suicide note that she was “not able to fulfill the expectations of her parents and apologized” to her family for taking the extreme step, cops said. Police are recording the statement of her family members and friends. Police registered a case under section 174 of CrPC and initiated inquest proceedings. The post-mortem would be conducted on Tuesday. ",19-04-2022,"['suicide', 'suicide', 'death', 'suicide']"
267,Indore,[],"Med college dean, 2 students booked","Indore: The dean of Index Medical College and two second-year medical students were booked on Friday for allegedly abetting the suicide of an MBBS fresher.The case was registered following a series of protests by the student’s family and relatives on Friday. Police arrested the accused students, identified as Romil Singh and Durgesh Hada, for ‘mentally harassing’ the deceased, Chetan Patidar, 23. Dean Dr G S Patel is accused of ignoring the complaints lodged by Chetan and his family. Police are looking for him. The dean did not respond to queries.Chetan was found hanging in his room on Wednesday afternoon, a night after he was admitted to the hostel. Though no suicide note was found, his relatives allege that he was ragged by his seniors.“The family had submitted a request letter to the college management on March 26, seeking permission for Chetan to live outside the college hostel, alleging that he was subjected to ragging by seniors in the hostel,” Khudel police station in-charge Ajay Singh Gurjar said, adding that the dean allegedly denied their request.The autopsy at MY Hospital was videographed. On Friday, Chetan’s relatives and members of the Patidar community gathered at Indore police commissioner office and held a massive protest demanding immediate action.“An investigation was carried out and a case under IPC sections 306 and 34 has been registered. Both the accused students have been arrested,” said Gurjar, adding that the college dean will be taken into custody soon. TNN",02-04-2022,"['suicide', 'protests', 'complaints', 'suicide', 'allege', 'ragged', 'subjected', 'denied', 'protest']"
268,VISAKHAPATNAM,[],Visakhapatnam: Class 10 student kills self in hostel,"VISAKHAPATNAM: A class 10 student, Sajith Raju, committed suicide by hanging himself to a ceiling fan at his hostel room at Koyyuru in Visakhapatnam Agency. A native of Paderu, Raju was a student at APR School. Police recovered a suicide note from his room in which he mentioned that he did not want to go home for the Sankranti vacation. A case was registered and the body sent to a government hospital for post mortem. ",13-01-2021,"['suicide', 'suicide']"
